id,museum,name,inventory,size,details,era,technique,category,image_url,author,number_of_volume,engraved_or_handcopied
6820,上海博物馆,伊念曾 生氏,,,,清,,玺印篆刻,,,,
6821,上海博物馆,陈鸿寿 椎,,,,清,,玺印篆刻,,,,
6822,上海博物馆,陈豫钟 嫩寒春晓,,,,清,,玺印篆刻,,,,
6823,上海博物馆,张辛 堂,,,,清,,玺印篆刻,,,,
6824,上海博物馆,杨适印,,,,汉,,玺印篆刻,,,,
6825,上海博物馆,韩竝,,,,东汉,,玺印篆刻,,,,
6826,上海博物馆,苏蒙,,,,西汉,,玺印篆刻,,,,
6827,上海博物馆,杜倚,,,,西汉,,玺印篆刻,,,,
6828,上海博物馆,赵之琛 心,,,,清,,玺印篆刻,,,,
6829,上海博物馆,笁进奏事,,,,晋,,玺印篆刻,,,,
6830,上海博物馆,骧将军章,,,,南北朝,,玺印篆刻,,,,
6831,上海博物馆,刘白记,,,,晋,,玺印篆刻,,,,
6832,上海博物馆,城县韩寿印,,,,南北朝,,玺印篆刻,,,,
6833,上海博物馆,崔·臣 两面印,,,,汉,,玺印篆刻,,,,
6834,上海博物馆,桐交·桐 两面印,,,,汉,,玺印篆刻,,,,
6835,上海博物馆,李·臣 两面印,,,,汉,,玺印篆刻,,,,
6836,上海博物馆,猶偃·猶长公 两面印,,,,汉,,玺印篆刻,,,,
6837,上海博物馆,朱·臣 两面印,,,,汉,,玺印篆刻,,,,
6838,上海博物馆,王青·臣青 两面印,,,,东汉,,玺印篆刻,,,,
6839,上海博物馆,牟·成宜 两面印,,,,东汉,,玺印篆刻,,,,
6840,上海博物馆,萩萌私印,,,,汉,,玺印篆刻,,,,
6841,上海博物馆,谭之印,,,,汉,,玺印篆刻,,,,
6842,上海博物馆,由尚印,,,,汉,,玺印篆刻,,,,
6843,上海博物馆,周,,,,战国,,玺印篆刻,,,,
6844,上海博物馆,晋率善佰长,,,,晋,,玺印篆刻,,,,
6845,上海博物馆,贾,,,,秦,,玺印篆刻,,,,
6846,上海博物馆,赵踝,,,,汉,,玺印篆刻,,,,
6847,上海博物馆,石□,,,,战国,,玺印篆刻,,,,
6848,上海博物馆,裘,,,,汉,,玺印篆刻,,,,
6849,上海博物馆,客子□,,,,清,,玺印篆刻,,,,
6850,上海博物馆,高错·高翁 两面印,,,,汉,,玺印篆刻,,,,
6851,上海博物馆,冶成·冶中孙 两面印,,,,东汉,,玺印篆刻,,,,
6852,上海博物馆,志·臣志 两面印,,,,汉,,玺印篆刻,,,,
6853,上海博物馆,贯·双鹭 形两面印,,,,汉,,玺印篆刻,,,,
6854,上海博物馆,朱·朱长公 两面印,,,,东汉,,玺印篆刻,,,,
6855,上海博物馆,广,,,,汉,,玺印篆刻,,,,
6856,上海博物馆,虞卬之印,,,,汉,,玺印篆刻,,,,
6857,上海博物馆,敬,,,,战国,,玺印篆刻,,,,
6858,上海博物馆,欣·臣章 两面印,,,,汉,,玺印篆刻,,,,
